year,landings.tre1,tacc.tre1,landings.tre2,tacc.tre2,landings.tre3,tacc.tre3,landings.tre7,tacc.tre7,landings.tre10,tacc.tre10,total.landings,tacc.total
1983,1534,NA,77,NA,3,NA,2165,NA,0,NA,3779,NA
1984,1798,NA,335,NA,1,NA,1707,NA,0,NA,3841,NA
1985,1887,NA,162,NA,1,NA,1943,NA,0,NA,3893,NA
1986,1431,NA,161,NA,3,NA,1830,NA,0,NA,3425,NA
1986-97,982,1210,237,190,1,20,1626,1800,0,10,2845,2230
1987-88,1111,1210,267,219,1,20,1752,1800,0,10,3131,3259
1988-89,818,1413,177,235,1,20,1665,2010,0,10,2651,3688
1989-90,1240,1493,275,237,18,20,1589,2146,0,10,3122,3906
1990-91,1011,1495,273,238,8,22,2016,2153,0,10,3308,3918
1991-92,1169,1498,197,238,1,22,1367,2153,1,10,2733,3921
1992-93,1328,1505,247,241,1,22,1796,2153,1,10,3371,3931
1993-94,1162,1506,230,241,1,22,2231,2153,0,10,3624,3932
1994-95,1242,1506,179,241,1,22,2138,2153,0,10,3559,3932
1995-96,1175,1506,211,241,1,22,2019,2153,0,10,3405,3932
1996-97,1174,1506,317,241,1,22,1843,2153,0,10,3333,3932
1997-98,1027,1506,223,241,3,22,2102,2153,0,10,3355,3932
1998-99,1469,1506,284,241,24,22,2148,2153,0,10,3925,3932
1999-00,1424,1506,309,241,3,22,2254,2153,0,10,3989,3932
2000-01,1049,1506,211,241,1,22,1888,2153,0,10,3148,3932
2001-02,1085,1506,243,241,1,22,1856,2153,0,10,3185,3933
2002-03,1014,1507,270,241,1,22,2029,2153,0,10,3313,3933
2003-04,1111,1507,251,241,1,22,2186,2153,0,10,3548,3933
2004-05,977,1507,319,241,1,22,1945,2153,0,10,3241,3933
2005-06,1149,1507,417,241,1,22,1957,2153,0,10,3524,3933
2006-07,790,1507,368,241,1,22,1739,2153,0,10,2897,3933
2007-08,847,1507,230,241,1,22,1797,2153,0,10,2875,3933
2008-09,855,1507,302,241,1,22,2018,2153,0,10,3175,3933
2009-10,814,1507,261,241,1,22,1966,2153,0,10,3042,3933
2010-11,1408,1507,245,241,1,22,1922,2153,0,10,3575,3933
2011-12,1050,1507,186,241,1,22,1895,2153,0,10,3131,3933
2012-13,1301,1507,197,241,1,22,1842,2153,0,10,3340,3933
2013-14,1421,1507,303,241,1,22,1610,2153,0,10,3344,3933
2013-15,1447,1507,220,241,1,22,1824,2153,0,10,3521,3933
2015-16,1576,1507,285,241,1,22,1949,2153,0,10,3810,3933
2016-17,1506,1507,304,241,1,22,1728,2153,0,10,3538,3933
